Name,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Swim distance,Bike distance,Run distance,Year
Rune Opstad,Male,Norway,0 days 02:02:09,0 days 00:09:23,0 days 08:05:40,0 days 00:09:23,0 days 06:04:55,0 days 16:31:30,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Jon  Amundsen,Male,Norway ,0 days 02:30:00,0 days 00:07:06,0 days 06:51:10,0 days 00:07:06,0 days 07:03:19,0 days 16:38:40,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Kent Bahr,Male,Norway,0 days 01:49:02,0 days 00:08:59,0 days 07:44:23,0 days 00:08:59,0 days 06:47:42,0 days 16:39:05,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Marit  Svenning Berg,Female,Norway,0 days 01:35:15,0 days 00:05:00,0 days 07:46:53,0 days 00:05:00,0 days 07:08:03,0 days 16:40:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Christoffer BremvÃ¥g,Male,Norway,0 days 02:03:10,0 days 00:11:01,0 days 07:15:39,0 days 00:11:01,0 days 06:59:19,0 days 16:40:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Thor SÃ¸dal,Male,Norway,0 days 02:51:00,0 days 00:08:28,0 days 07:43:39,0 days 00:08:28,0 days 05:50:55,0 days 16:42:30,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Nicolas Albin,Male,France,0 days 01:34:45,0 days 00:04:57,0 days 07:42:23,0 days 00:04:57,0 days 07:20:00,0 days 16:47:02,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Dag Aksnes,Male,Norway,0 days 01:37:40,0 days 00:06:37,0 days 07:46:49,0 days 00:06:37,0 days 07:12:17,0 days 16:50:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Ross Lovell,Male,United Kingdom,0 days 01:50:03,0 days 00:14:55,0 days 06:44:09,0 days 00:14:55,0 days 07:49:38,0 days 16:53:40,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Rolf Yngvar Jenssen,Male,Norway,0 days 01:45:00,0 days 00:11:18,0 days 07:53:03,0 days 00:11:18,0 days 06:55:20,0 days 16:56:00,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Stefan Tittel,Male,Denmark,0 days 02:05:55,0 days 00:08:47,0 days 07:38:26,0 days 00:08:47,0 days 06:56:15,0 days 16:58:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Trond Markussen,Male,Norway,0 days 02:09:10,0 days 00:08:44,0 days 08:06:02,0 days 00:08:44,0 days 06:25:31,0 days 16:58:10,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Eirik BjÃ¸rgo,Male,Norway,0 days 01:31:40,0 days 00:11:38,0 days 07:23:17,0 days 00:11:38,0 days 07:41:03,0 days 16:59:15,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Peter  Cobb,Male,United Kingdom,0 days 01:25:26,0 days 00:05:12,0 days 07:55:34,0 days 00:05:12,0 days 07:33:55,0 days 17:05:20,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
Steinar Torp Lien,Male,Norway,0 days 02:03:29,0 days 00:08:34,0 days 07:41:48,0 days 00:08:34,0 days 07:03:40,0 days 17:06:05,Black,Gaustatoppen,3800.0,180.0,42.0,2008.0
